source,size,seed,variant,u_max,repeat,trials,wall_s,knowledge,reliable,spec,pop
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,420000,269.0,0.0311,43,8.98,8154
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,480000,321.0,0.0584,77,8.92,9208
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,540000,394.0,0.0919,104,8.84,11465
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,600000,487.0,0.1284,142,8.81,13427
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,660000,640.0,0.1653,185,8.83,14336
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,720000,753.0,0.1926,188,8.74,14243
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,780000,831.0,0.2176,213,8.72,13792
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,840000,903.0,0.2287,201,8.64,13558
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,900000,953.0,0.2446,201,8.59,13169
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,960000,998.0,0.2662,214,8.56,13238
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1020000,1042.0,0.2842,216,8.5,12650
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1080000,1085.0,0.2903,210,8.46,12464
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1140000,1173.0,0.2954,196,8.38,11732
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1200000,1220.0,0.3019,173,8.24,11864
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1260000,1261.0,0.308,182,8.27,11874
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1320000,1316.0,0.3131,175,8.21,11996
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1380000,1363.0,0.3187,187,8.21,11672
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1440000,1408.0,0.3151,164,8.12,11765
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1500000,1450.0,0.3227,158,7.99,15051
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1560000,1592.0,0.3241,158,8.02,11512
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1620000,1665.0,0.3253,155,7.97,12804
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1680000,1718.0,0.3287,159,7.99,11689
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1740000,1770.0,0.3271,148,7.95,11856
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1800000,1814.0,0.327,137,7.83,11316
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1860000,1887.0,0.3278,129,7.74,11774
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1920000,1951.0,0.3294,129,7.75,12251
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,1980000,2018.0,0.3376,139,7.8,11587
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2040000,2117.0,0.3404,130,7.68,11543
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2100000,2190.0,0.3363,118,7.56,11566
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2160000,2267.0,0.3404,119,7.54,11841
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2220000,2334.0,0.3421,115,7.48,11684
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2280000,2412.0,0.3395,115,7.53,11365
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2340000,2494.0,0.3467,114,7.45,11688
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2400000,2568.0,0.352,114,7.44,11783
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2460000,2639.0,0.3524,118,7.47,11814
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2520000,2717.0,0.3588,120,7.43,11669
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2580000,2801.0,0.3608,124,7.47,11804
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2640000,2869.0,0.3544,111,7.37,11534
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2700000,2949.0,0.354,112,7.38,12338
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2760000,3033.0,0.3563,113,7.35,12677
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2820000,3118.0,0.3552,108,7.29,11688
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2880000,3198.0,0.3462,103,7.28,12647
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,2940000,3276.0,0.3474,104,7.27,11710
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3000000,3350.0,0.3479,101,7.2,11764
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3060000,3420.0,0.3525,105,7.22,13893
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3120000,3492.0,0.3536,100,7.12,11831
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3180000,3553.0,0.3558,103,7.17,11418
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3240000,3641.0,0.3565,106,7.23,11548
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3300000,3730.0,0.3565,102,7.2,11761
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3360000,3795.0,0.3554,102,7.22,12513
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3420000,3867.0,0.3593,106,7.26,12969
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3480000,3934.0,0.3576,104,7.25,12184
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3540000,3998.0,0.3633,115,7.4,11918
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3600000,4076.0,0.3746,125,7.42,12186
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3660000,4145.0,0.3743,119,7.32,11780
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3720000,4227.0,0.3672,116,7.39,11830
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3780000,4291.0,0.3662,113,7.38,11795
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3840000,4376.0,0.369,117,7.43,12454
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3900000,4478.0,0.3691,117,7.42,11815
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,3960000,4561.0,0.3711,120,7.44,11855
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4020000,4689.0,0.3731,125,7.5,11926
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4080000,4767.0,0.3733,125,7.5,11864
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4140000,4843.0,0.3751,132,7.58,12713
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4200000,4923.0,0.377,138,7.63,12095
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4260000,5003.0,0.3791,128,7.5,11832
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4320000,5071.0,0.3756,123,7.46,12137
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4380000,5156.0,0.3744,116,7.38,12454
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4440000,5235.0,0.3734,112,7.31,13348
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4500000,5305.0,0.3742,112,7.29,12525
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4560000,5369.0,0.3752,113,7.29,11924
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4620000,5442.0,0.373,111,7.31,11743
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4680000,5514.0,0.3725,110,7.29,12118
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4740000,5586.0,0.3717,108,7.27,12182
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4800000,5653.0,0.3741,112,7.29,11825
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4860000,5715.0,0.3764,111,7.26,12250
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4920000,5789.0,0.3854,121,7.36,11935
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,4980000,5844.0,0.3878,115,7.26,12135
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5040000,5928.0,0.3913,118,7.28,20599
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5100000,6001.0,0.396,127,7.35,12105
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5160000,6063.0,0.3999,122,7.28,12154
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5220000,6122.0,0.3942,119,7.27,12407
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5280000,6210.0,0.3959,119,7.25,16572
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5340000,6307.0,0.3987,124,7.35,17513
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5400000,6524.0,0.4001,121,7.31,12125
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5460000,6583.0,0.3966,118,7.3,12382
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5520000,6696.0,0.3953,116,7.25,11868
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5580000,6771.0,0.3953,115,7.23,12047
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5640000,6937.0,0.3934,111,7.2,12179
mpx_m3_e1_traj70_butz.log,70,42,butz,9,0,5700000,7168.0,0.4001,115,7.21,11725
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,60000,64.0,0.0009,1,10.0,3725
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,60000,73.0,0.0009,1,10.0,3725
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,120000,92.0,0.0015,2,10.5,3885
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,120000,123.0,0.0015,2,10.5,3885
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,180000,134.0,0.0077,6,9.5,4347
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,180000,193.0,0.0077,6,9.5,4347
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,240000,161.0,0.0107,10,9.9,4131
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,240000,246.0,0.0107,10,9.9,4131
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,300000,189.0,0.0171,16,9.94,4304
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,300000,299.0,0.0171,16,9.94,4304
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,360000,217.0,0.0253,20,9.75,4880
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,360000,353.0,0.0253,20,9.75,4880
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,420000,247.0,0.0316,28,9.75,4560
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,420000,407.0,0.0316,28,9.75,4560
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,480000,278.0,0.0323,28,9.86,4422
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,480000,461.0,0.0323,28,9.86,4422
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,540000,311.0,0.0347,27,9.59,4341
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,540000,511.0,0.0347,27,9.59,4341
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,600000,343.0,0.0385,29,9.76,5226
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,600000,558.0,0.0385,29,9.76,5226
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,660000,383.0,0.0438,30,9.3,5185
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,660000,608.0,0.0438,30,9.3,5185
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,720000,422.0,0.0544,34,9.15,5068
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,720000,659.0,0.0544,34,9.15,5068
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,780000,458.0,0.0714,52,9.65,4938
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,780000,705.0,0.0714,52,9.65,4938
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,840000,500.0,0.0864,60,9.23,4860
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,840000,751.0,0.0864,60,9.23,4860
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,900000,586.0,0.1019,69,9.28,4708
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,900000,796.0,0.1019,69,9.28,4708
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,960000,621.0,0.1022,62,9.39,4698
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,960000,843.0,0.1022,62,9.39,4698
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1020000,651.0,0.114,64,9.05,4085
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1020000,889.0,0.114,64,9.05,4085
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1080000,683.0,0.1229,62,8.87,3981
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1080000,936.0,0.1229,62,8.87,3981
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1140000,728.0,0.1294,70,8.81,3902
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1140000,986.0,0.1294,70,8.81,3902
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1200000,764.0,0.1482,78,8.88,4056
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1200000,1031.0,0.1482,78,8.88,4056
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1260000,793.0,0.1677,92,8.98,4310
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1260000,1072.0,0.1677,92,8.98,4310
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1320000,818.0,0.184,94,8.83,3864
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1320000,1110.0,0.184,94,8.83,3864
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1380000,842.0,0.1979,97,8.7,3890
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1380000,1147.0,0.1979,97,8.7,3890
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1440000,882.0,0.2101,101,8.68,3929
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1440000,1194.0,0.2101,101,8.68,3929
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1500000,907.0,0.2237,105,8.56,3350
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1500000,1234.0,0.2237,105,8.56,3350
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1560000,931.0,0.2313,106,8.65,3165
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1560000,1270.0,0.2313,106,8.65,3165
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1620000,952.0,0.2406,112,8.62,3220
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1620000,1303.0,0.2406,112,8.62,3220
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1680000,974.0,0.2496,114,8.55,3013
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1680000,1338.0,0.2496,114,8.55,3013
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1740000,997.0,0.2715,124,8.6,3099
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1740000,1376.0,0.2715,124,8.6,3099
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1800000,1020.0,0.2939,131,8.4,2985
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1800000,1411.0,0.2939,131,8.4,2985
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1860000,1041.0,0.3179,141,8.36,2838
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1860000,1442.0,0.3179,141,8.36,2838
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1920000,1060.0,0.3357,151,8.32,2595
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1920000,1472.0,0.3357,151,8.32,2595
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,1980000,1085.0,0.3449,140,8.26,2586
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,1980000,1506.0,0.3449,140,8.26,2586
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2040000,1103.0,0.3684,155,8.15,2928
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2040000,1534.0,0.3684,155,8.15,2928
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2100000,1160.0,0.388,156,8.1,2699
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2100000,1567.0,0.388,156,8.1,2699
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2160000,1192.0,0.396,155,8.23,2489
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2160000,1593.0,0.396,155,8.23,2489
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2220000,1216.0,0.4094,160,8.08,2132
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2220000,1623.0,0.4094,160,8.08,2132
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2280000,1236.0,0.4284,164,7.92,2053
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2280000,1654.0,0.4284,164,7.92,2053
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2340000,1261.0,0.4325,158,7.76,2117
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2340000,1696.0,0.4325,158,7.76,2117
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2400000,1284.0,0.4458,163,7.77,3051
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2400000,1732.0,0.4458,163,7.77,3051
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2460000,1323.0,0.4589,167,7.71,2280
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2460000,1765.0,0.4589,167,7.71,2280
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2520000,1341.0,0.4803,181,7.77,2492
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2520000,1787.0,0.4803,181,7.77,2492
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2580000,1356.0,0.498,179,7.71,2398
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2580000,1808.0,0.498,179,7.71,2398
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2640000,1376.0,0.5142,179,7.72,1848
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2640000,1836.0,0.5142,179,7.72,1848
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2700000,1392.0,0.5224,173,7.65,1977
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2700000,1860.0,0.5224,173,7.65,1977
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2760000,1421.0,0.5294,174,7.64,1885
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2760000,1892.0,0.5294,174,7.64,1885
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2820000,1444.0,0.5332,175,7.64,1801
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2820000,1926.0,0.5332,175,7.64,1801
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2880000,1474.0,0.5337,170,7.5,2039
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2880000,1964.0,0.5337,170,7.5,2039
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,2940000,1561.0,0.5394,174,7.45,1938
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,2940000,2002.0,0.5394,174,7.45,1938
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3000000,1617.0,0.5522,179,7.46,1692
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3000000,2032.0,0.5522,179,7.46,1692
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3060000,1648.0,0.5533,173,7.42,1899
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3060000,2071.0,0.5533,173,7.42,1899
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3120000,1679.0,0.5656,175,7.42,1670
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3120000,2114.0,0.5656,175,7.42,1670
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3180000,1702.0,0.5643,172,7.34,1729
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3180000,2149.0,0.5643,172,7.34,1729
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3240000,1725.0,0.5677,169,7.35,1555
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3240000,2188.0,0.5677,169,7.35,1555
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3300000,1746.0,0.5806,177,7.37,1579
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3300000,2221.0,0.5806,177,7.37,1579
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3360000,1781.0,0.5962,179,7.3,1867
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3360000,2279.0,0.5962,179,7.3,1867
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3420000,1809.0,0.6022,181,7.28,1865
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3420000,2327.0,0.6022,181,7.28,1865
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3480000,1831.0,0.6072,178,7.22,1962
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3480000,2358.0,0.6072,178,7.22,1962
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3540000,1861.0,0.6098,180,7.22,1919
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3540000,2397.0,0.6098,180,7.22,1919
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3600000,1890.0,0.6155,181,7.25,1502
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3600000,2436.0,0.6155,181,7.25,1502
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3660000,1917.0,0.6165,175,7.23,1604
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3660000,2480.0,0.6165,175,7.23,1604
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3720000,1944.0,0.6187,179,7.2,1645
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3720000,2518.0,0.6187,179,7.2,1645
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3780000,1984.0,0.6167,179,7.18,1650
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3780000,2565.0,0.6167,179,7.18,1650
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3840000,2020.0,0.6128,176,7.21,1618
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3840000,2614.0,0.6128,176,7.21,1618
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3900000,2077.0,0.6123,175,7.13,1709
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3900000,2659.0,0.6123,175,7.13,1709
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,3960000,2107.0,0.616,180,7.26,1629
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,3960000,2699.0,0.616,180,7.26,1629
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4020000,2140.0,0.6172,180,7.24,1735
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4020000,2757.0,0.6172,180,7.24,1735
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4080000,2174.0,0.6154,174,7.26,1865
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4080000,2816.0,0.6154,174,7.26,1865
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4140000,2202.0,0.6176,177,7.28,1559
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4140000,2858.0,0.6176,177,7.28,1559
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4200000,2238.0,0.6238,181,7.28,1793
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4200000,2919.0,0.6238,181,7.28,1793
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4260000,2269.0,0.6282,181,7.24,2773
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4260000,2971.0,0.6282,181,7.24,2773
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4320000,2301.0,0.6329,181,7.22,1579
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4320000,3022.0,0.6329,181,7.22,1579
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4380000,2324.0,0.6244,169,7.18,1782
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4380000,3057.0,0.6244,169,7.18,1782
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4440000,2353.0,0.6324,179,7.19,1542
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4440000,3097.0,0.6324,179,7.19,1542
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4500000,2379.0,0.6328,175,7.19,1353
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4500000,3135.0,0.6328,175,7.19,1353
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4560000,2416.0,0.6351,180,7.27,1509
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4560000,3189.0,0.6351,180,7.27,1509
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4620000,2432.0,0.6419,195,7.35,1601
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4620000,3213.0,0.6419,195,7.35,1601
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4680000,2451.0,0.6419,185,7.32,1652
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4680000,3240.0,0.6419,185,7.32,1652
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4740000,2480.0,0.6468,192,7.33,1517
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4740000,3279.0,0.6468,192,7.33,1517
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4800000,2518.0,0.6483,197,7.34,1601
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4800000,3330.0,0.6483,197,7.34,1601
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4860000,2548.0,0.6445,182,7.31,1405
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4860000,3374.0,0.6445,182,7.31,1405
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4920000,2574.0,0.6522,181,7.34,1469
slurm_mpx70_s42_addr.out,70,42,pyalcs,8,0,4920000,3418.0,0.6522,181,7.34,1469
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4980000,2608.0,0.6547,185,7.28,1463
